Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Normalized_CC_Before,Normalized_CC_After,Normalized_HV_Before,Normalized_HV_After,Comment_Ratio_Before,Comment_Ratio_After,Comment_Readability_Before,Comment_Readability_After,Style_Conformance_Score_Before,Style_Conformance_Score_After,Clone_Density_Before,Clone_Density_After
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0759,0.0705,42.8781,47.8715,0.017,0.0246,52.93,52.02,,,,
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,build.gradle,build.gradle,Gradle,modified,0.0909,0.06,43.4602,48.1658,0.0,0.0,0.0,27.36,1.0,1.0,0.0,0.0
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0909,0.06,43.4602,48.1658,0.0,0.0,0.0,27.36,,,,
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,DaliTestApp/build.gradle,build.gradle,Gradle,modified,0.0213,0.0192,53.0089,64.781,0.0182,0.0161,54.73,54.73,1.0,1.0,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,build.gradle,build.gradle,Gradle,modified,0.0857,0.0357,23.8243,30.4364,0.0,0.0,92.97,0.0,1.0,1.0,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,dali/build.gradle,build.gradle,Gradle,modified,0.0238,0.0233,56.2771,59.7063,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/common-build.gradle,common-build.gradle,Gradle,added,0.0,0.1724,0.0,18.7238,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/publish.gradle,publish.gradle,Gradle,renamed,0.0,0.0119,0.0,52.9955,0.0,0.1028,0.0,45.91,0.0,0.93,0.0,0.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0403,0.0528,45.8783,46.5125,0.007,0.038,80.9,46.19,,,,
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,speechrecognitionview/build.gradle,build.gradle,Gradle,modified,0.0769,0.0909,39.8677,38.2445,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0769,0.0909,39.8677,38.2445,0.0,0.0,0.0,0.0,,,,
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.gradle,build.gradle,Gradle,modified,0.0361,0.0707,51.1522,48.8042,0.129,0.1103,29.29,29.29,1.0,0.94,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,renamed,0.0,0.0833,0.0,55.0567,0.0,0.3913,0.0,58.77,0.0,0.0,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-content-resolver-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,0.1667,0.0625,37.023,45.0819,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,0.1667,0.0625,37.023,45.0819,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,removed,0.0833,0.0,55.0567,0.0,0.3913,0.0,58.77,0.0,0.0,0.0,0.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.0903,0.0699,45.9851,48.4959,0.1152,0.1214,46.19,46.19,,,,
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/build.gradle,build.gradle,Gradle,renamed,0.0,0.0789,0.0,16.2137,0.0,0.0,0.0,51.32,0.0,0.66,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/java-app/build.gradle,build.gradle,Gradle,renamed,0.0,0.037,0.0,12.0567,0.0,0.0312,0.0,50.97,0.0,0.85,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/build.gradle,build.gradle,Gradle,renamed,0.0,0.0286,0.0,23.4203,0.0,0.0889,0.0,44.93,0.0,0.8,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/kotlin-library/build.gradle,build.gradle,Gradle,renamed,0.0,0.0333,0.0,17.3397,0.0,0.1053,0.0,44.93,0.0,0.8,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/settings.gradle,settings.gradle,Gradle,added,0.0,0.25,0.0,30.27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
