Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,Before_Security_Smell_Count,After_Security_Smell_Count,Before_Security_Smell_Density,After_Security_Smell_Density,Before_Security_Smell_Summary,After_Security_Smell_Summary,Before_HARDCODED_CREDENTIALS,Before_INSECURE_URLS,Before_WILDCARD_USAGE,Before_HARDCODED_PATHS_AND_URLS,Before_DEPRECATED_DEPENDENCIES,Before_OUTDATED_DEPENDENCIES,After_HARDCODED_CREDENTIALS,After_INSECURE_URLS,After_WILDCARD_USAGE,After_HARDCODED_PATHS_AND_URLS,After_DEPRECATED_DEPENDENCIES,After_OUTDATED_DEPENDENCIES
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/java-app/build.gradle,build.gradle,Gradle,renamed,0,2,0.0,0.0741,,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0,0,0,0,0,0,1,0,1,0,0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/build.gradle,build.gradle,Gradle,renamed,0,3,0.0,0.0857,,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0,0,0,0,0,0,1,0,1,0,0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/kotlin-library/build.gradle,build.gradle,Gradle,renamed,0,3,0.0,0.1,,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0,0,0,0,0,0,1,0,1,0,0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/settings.gradle,settings.gradle,Gradle,added,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/simpleKotlin/settings.gradle,settings.gradle,Gradle,removed,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,10,0.0,0.0746,,HARDCODED_PATHS_AND_URLS;INSECURE_URLS,0,0,0,0,0,0,0,1,0,1,0,0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,blessedDeps.gradle,blessedDeps.gradle,Gradle,added,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,build.gradle,build.gradle,Gradle,modified,4,4,0.0727,0.0714,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,1,1,0,0,0,0,1,1,0,0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-adapter/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-annotations/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-processor/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-processortest/build.gradle,build.gradle,Gradle,modified,2,2,0.0909,0.0909,WILDCARD_USAGE,WILDCARD_USAGE,0,0,1,0,0,0,0,0,1,0,0,0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-sample/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,processor/build.gradle,build.gradle,Gradle,modified,0,0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,6,6,0.0387,0.0278,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,HARDCODED_PATHS_AND_URLS;WILDCARD_USAGE,0,0,1,1,0,0,0,0,1,1,0,0
