Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,RE_Before,RE_After,DSS_Before,DSS_After,EDR_Before,EDR_After
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,sample/build.gradle,build.gradle,Gradle,modified,1.0,1.0,1.0,1.0,0.8571,0.8571
2db614bf4ea19572e49994d9d18e90acaf882147,69e0a4f0b68f0549c083f94b4db16cf62f4be4ae,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,1.0,1.0,1.0,1.0,0.8571,0.8571
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,build.gradle,build.gradle,Gradle,modified,0.9524,1.0,0.0,0.0,1.0,1.0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,demo/build.gradle,build.gradle,Gradle,modified,0.9804,0.9804,0.0,0.0,0.875,0.8333
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,dependencies.gradle,dependencies.gradle,Gradle,modified,1.0,0.9833,0.0,0.0,0.0,1.0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,library/build.gradle,build.gradle,Gradle,modified,0.9706,0.9697,0.0,0.0,1.0,1.0
60685c95bdece53d102a7ef3c153633b7b441033,026088e253294657462848bf6c09fc792255cc90,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9814,0.9815,0.0,0.0,0.9474,0.9286
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,build.gradle,build.gradle,Gradle,modified,0.8816,0.8831,0.0,0.0,1.0,1.0
31dbe22da1682dc548af1a03ed659d38373b450b,7cee8b8ff517a273049266db82f37e2264d69515,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.8816,0.8831,0.0,0.0,1.0,1.0
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,elasticviews/build.gradle,build.gradle,Gradle,modified,1.0,1.0,0.0,0.0,1.0,1.0
354b5d5629dd28fad6943746051418bc716fe7f8,0af45926de5e70a254a22eebf36dc8617dac5685,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,1.0,1.0,0.0,0.0,1.0,1.0
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,app/build.gradle,build.gradle,Gradle,modified,0.9808,0.9808,1.0,1.0,1.0,1.0
e7f29e455ad6cc76904e1368cae1a1b1af7399d6,48d1446a804724e287264a47f796d92617a22d7c,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9808,0.9808,1.0,1.0,1.0,1.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,build.gradle,build.gradle,Gradle,modified,1.0,1.0,0.0,0.0,1.0,1.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,gradle/maven_push.gradle,maven_push.gradle,Gradle,renamed,0.0,0.9556,0.0,0.0,0.0,1.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-plugin/build.gradle,build.gradle,Gradle,modified,1.0,1.0,1.0,0.0,1.0,1.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,tracklytics-runtime/build.gradle,build.gradle,Gradle,modified,0.9873,0.9873,1.0,0.0,1.0,1.0
17441277f445ab262366a34bf9be856bf48bf544,f44398f737e02ffd5ddeacd5d5ed0dce2abd5746,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9931,0.9793,1.0,0.0,1.0,1.0
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,build.gradle,build.gradle,Gradle,modified,1.0,0.91,0.0,0.0,1.0,1.0
14a86e0028b1aaeb00a01197d229dff33fe80712,cd1a0cc7ccdc400eff1252ffd14ee8eb90ed04e8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,1.0,0.91,0.0,0.0,1.0,1.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,DaliTestApp/build.gradle,build.gradle,Gradle,modified,1.0,1.0,1.0,1.0,1.0,1.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,build.gradle,build.gradle,Gradle,modified,1.0,1.0,0.0,0.0,1.0,1.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,dali/build.gradle,build.gradle,Gradle,modified,1.0,1.0,1.0,1.0,1.0,1.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/common-build.gradle,common-build.gradle,Gradle,added,0.0,1.0,0.0,0.0,0.0,1.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,gradle/publish.gradle,publish.gradle,Gradle,renamed,0.0,0.8929,0.0,0.0,0.0,1.0
d6e5e7b44a25f678b2fdb2827306ffe34c75bff7,b083417e5b86ceda11db036e3e5c57ebf2049af4,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,1.0,0.966,1.0,1.0,1.0,1.0
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,speechrecognitionview/build.gradle,build.gradle,Gradle,modified,1.0,1.0,0.0,0.0,1.0,1.0
1c21bde52c98c96f56d6508b3e00305fd656ce06,6ab16830c2798e418e573e80c1e4b1ba9ff81bc5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,1.0,1.0,0.0,0.0,1.0,1.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.gradle,build.gradle,Gradle,modified,0.9759,0.9596,0.0,0.0,0.1,0.1818
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,renamed,0.0,0.6667,0.0,0.0,0.0,1.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-content-resolver-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,0.9333,1.0,0.0,0.0,1.0,1.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.gradle,build.gradle,Gradle,modified,0.9333,1.0,0.0,0.0,1.0,1.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,storio-sqlite-annotations-processor-test/build.workaround-missing-resource.gradle,build.workaround-missing-resource.gradle,Gradle,removed,0.6667,0.0,0.0,0.0,1.0,0.0
91ef8961461561a1f569f76a3d5f1603b12a2921,13916c8471abc88f662b0b447b02b5c1443547c5,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9355,0.9441,0.0,0.0,0.55,0.5263
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/build.gradle,build.gradle,Gradle,renamed,0.0,0.9474,0.0,0.0,0.0,1.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/java-app/build.gradle,build.gradle,Gradle,renamed,0.0,0.9259,0.0,0.0,0.0,1.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/build.gradle,build.gradle,Gradle,renamed,0.0,0.9143,0.0,0.0,0.0,0.9375
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/kotlin-app/kotlin-library/build.gradle,build.gradle,Gradle,renamed,0.0,0.9,0.0,0.0,0.0,1.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/settings.gradle,settings.gradle,Gradle,added,0.0,1.0,0.0,0.0,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,javatests/artifacts/dagger/simpleKotlin/settings.gradle,settings.gradle,Gradle,removed,1.0,0.0,0.0,0.0,0.0,0.0
adcaeab64fb435d35f1f6e9559e591277470ef6d,50a7c87f2cd9ff2b44c59f34561706dfece0f749,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,1.0,0.9254,0.0,0.0,0.0,0.9737
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,blessedDeps.gradle,blessedDeps.gradle,Gradle,added,0.0,1.0,0.0,0.0,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,build.gradle,build.gradle,Gradle,modified,0.9273,0.9286,0.0,0.0,1.0,1.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-adapter/build.gradle,build.gradle,Gradle,modified,1.0,1.0,1.0,0.0,0.9444,0.5
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-annotations/build.gradle,build.gradle,Gradle,modified,1.0,1.0,0.0,0.0,1.0,1.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-processor/build.gradle,build.gradle,Gradle,modified,1.0,1.0,1.0,0.0,0.8333,0.5
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-processortest/build.gradle,build.gradle,Gradle,modified,0.9091,0.9091,1.0,0.0,0.8125,0.5
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-sample/build.gradle,build.gradle,Gradle,modified,1.0,1.0,1.0,0.0,0.7273,0.4
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,processor/build.gradle,build.gradle,Gradle,modified,1.0,1.0,1.0,0.0,0.9333,0.6667
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9613,0.9722,1.0,0.0,0.875,0.6667
64130eacea59c5f95fce454aa5b1a30e84aa0b98,2b92c35faf02480c5e57cb57a2666d41c1f6f273,build.gradle,build.gradle,Gradle,modified,0.9123,0.9123,0.9643,0.9643,1.0,1.0
64130eacea59c5f95fce454aa5b1a30e84aa0b98,2b92c35faf02480c5e57cb57a2666d41c1f6f273,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9123,0.9123,0.9643,0.9643,1.0,1.0
3b4c4f5a5147304d8b16a11ee4c90bcc784a0894,59b0f69ba734388f84c93327ebd12bb27172f4a1,App/build.gradle,build.gradle,Gradle,modified,0.9852,0.986,1.0,1.0,1.0,1.0
3b4c4f5a5147304d8b16a11ee4c90bcc784a0894,59b0f69ba734388f84c93327ebd12bb27172f4a1,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0.9852,0.986,1.0,1.0,1.0,1.0
c9f9fde75f95eab90c01e1e088710668c9882f83,caca583ad306246083e573d7bab4dc2ec41650a9,app/build.gradle,build.gradle,Gradle,modified,0.9483,0.9464,0.0,0.0,0.9753,0.9753
