Commit_SHA,Parent_SHA,File_Path,File_Name,Tool,Status,CP_Internal_Before,CP_Internal_After,CP_External_Before,CP_External_After,NCP_Internal_Before,NCP_Internal_After,NCP_External_Before,NCP_External_After,Build_Cohesion_Before,Build_Cohesion_After,Clone_Density_Before,Clone_Density_After
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-processortest/build.gradle,build.gradle,Gradle,modified,0,0,16,6,0.0,0.0,0.7273,0.2727,0.0,0.0,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,epoxy-sample/build.gradle,build.gradle,Gradle,modified,0,0,11,5,0.0,0.0,0.5,0.1923,0.0,0.0,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,processor/build.gradle,build.gradle,Gradle,modified,0,0,15,3,0.0,0.0,1.0714,0.2143,0.0,0.0,0.0,0.0
49cd79581fe93c2e620cb90e68c72779ed8d5706,e593ef58fcdd4eced8abc083addfcd8dd9e786c8,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,72,27,0.0,0.0,0.4645,0.125,,,,
64130eacea59c5f95fce454aa5b1a30e84aa0b98,2b92c35faf02480c5e57cb57a2666d41c1f6f273,build.gradle,build.gradle,Gradle,modified,0,0,77,77,0.0,0.0,0.4503,0.4503,0.0,0.0,0.0,0.0
64130eacea59c5f95fce454aa5b1a30e84aa0b98,2b92c35faf02480c5e57cb57a2666d41c1f6f273,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,77,77,0.0,0.0,0.4503,0.4503,,,,
3b4c4f5a5147304d8b16a11ee4c90bcc784a0894,59b0f69ba734388f84c93327ebd12bb27172f4a1,App/build.gradle,build.gradle,Gradle,modified,0,0,41,43,0.0,0.0,0.3037,0.3007,0.0,0.0,0.0,0.094
3b4c4f5a5147304d8b16a11ee4c90bcc784a0894,59b0f69ba734388f84c93327ebd12bb27172f4a1,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,41,43,0.0,0.0,0.3037,0.3007,,,,
c9f9fde75f95eab90c01e1e088710668c9882f83,caca583ad306246083e573d7bab4dc2ec41650a9,app/build.gradle,build.gradle,Gradle,modified,0,0,81,81,0.0,0.0,0.4655,0.4821,0.0,0.0,0.139,0.079
c9f9fde75f95eab90c01e1e088710668c9882f83,caca583ad306246083e573d7bab4dc2ec41650a9,__COMMIT_TOTAL__,__COMMIT_TOTAL__,ALL,SUMMARY,0,0,81,81,0.0,0.0,0.4655,0.4821,,,,
